qid|a1|Lde|a2|P31|a3|P31_2|a4|P625|a5|P571|a6|P528|a7|P972
QX654|Lde|'Luckenbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3619064016214/8.60937744027893|P571|+1861-00-00T00:00:00Z/9.|P528|306|P972|Q53629101
QX655|Lde|'unterhalb Turnhalle'|P31|Q1630622|P31|Q53628618|P625|@47.3687119686907/8.56050200491435|P571|+nan-00-00T00:00:00Z/9.|P528|602|P972|Q53629101
QX656|Lde|'bei der Schienhutgasse'|P31|Q1630622|P31|Q53628296|P625|@47.3751872944275/8.54573051820801|P571|+1953-00-00T00:00:00Z/9.|P528|51|P972|Q53629101
QX657|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3470298480995/8.53303838460537|P571|+1926-00-00T00:00:00Z/9.|P528|130|P972|Q53629101
QX658|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3941076858275/8.54219325188822|P571|+1934-00-00T00:00:00Z/9.|P528|748|P972|Q53629101
QX659|Lde|'Schulhaus Buchwiesen III, Schulpavillon'|P31|Q1630622|P31|Q53628618|P625|@47.4273858600613/8.54022430376478|P571|+1958-00-00T00:00:00Z/9.|P528|681|P972|Q53629101
QX660|Lde|'Schulhaus In der Ey'|P31|Q1630622|P31|Q53628618|P625|@47.3736766508438/8.48788027341667|P571|+nan-00-00T00:00:00Z/9.|P528|626|P972|Q53629101
QX661|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3738975750925/8.54061735310388|P571|+1874-00-00T00:00:00Z/9.|P528|31|P972|Q53629101
QX662|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3729247273339/8.54126728484762|P571|+1667-00-00T00:00:00Z/9.|P528|14|P972|Q53629101
QX663|Lde|'Buswendeschleife'|P31|Q1630622|P31|Q53628522|P625|@47.4238373177161/8.49688925017722|P571|+1986-00-00T00:00:00Z/9.|P528|6063|P972|Q53629101
QX664|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3745376864906/8.51868650015172|P571|+1931-00-00T00:00:00Z/9.|P528|197|P972|Q53629101
QX665|Lde|'Kirchengemeindehaus'|P31|Q1630622|P31|Q53628296|P625|@47.4144084185452/8.51836959629082|P571|+1937-00-00T00:00:00Z/9.|P528|482|P972|Q53629101
QX666|Lde|'hinter Rathaus'|P31|Q1630622|P31|Q53628296|P625|@47.3716390271928/8.54252788719475|P571|+1919-00-00T00:00:00Z/9.|P528|50|P972|Q53629101
QX667|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3664193940661/8.53311744338491|P571|+1887-00-00T00:00:00Z/9.|P528|104|P972|Q53629101
QX668|Lde|'Areal städt. Wohnkolonie'|P31|Q1630622|P31|Q53628618|P625|@47.412162198107/8.51500620958247|P571|+1966-00-00T00:00:00Z/9.|P528|690|P972|Q53629101
QX669|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4103643093104/8.532781513255241|P571|+1946-00-00T00:00:00Z/9.|P528|489|P972|Q53629101
QX670|Lde|'Schulhaus Maienstrasse'|P31|Q1630622|P31|Q53628618|P625|@47.4101673097825/8.52929506340182|P571|+nan-00-00T00:00:00Z/9.|P528|661|P972|Q53629101
QX671|Lde||P31|Q1630622|P31|Q53628522|P625|@47.4105157069918/8.52722898011446|P571|+1986-00-00T00:00:00Z/9.|P528|6062|P972|Q53629101
QX672|Lde|'Dragonerbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3509775030911/8.52041468302788|P571|+1973-00-00T00:00:00Z/9.|P528|127|P972|Q53629101
QX673|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3579518744859/8.55160366670871|P571|+1903-00-00T00:00:00Z/9.|P528|391|P972|Q53629101
QX674|Lde||P31|Q1630622|P31|Q53629707|P625|@47.4027402723189/8.53554696267597|P571|+1959-00-00T00:00:00Z/9.|P528|303|P972|Q53629101
QX675|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3713432983444/8.54178736033326|P571|+1908-00-00T00:00:00Z/9.|P528|44|P972|Q53629101
QX676|Lde||P31|Q1630622|P31|Q53628296|P625|@47.365529910464/8.53217521695701|P571|+1929-00-00T00:00:00Z/9.|P528|136|P972|Q53629101
QX677|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3597861925826/8.59368831408846|P571|+nan-00-00T00:00:00Z/9.|P528|312|P972|Q53629101
QX678|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3638036600321/8.57119483515532|P571|+1955-00-00T00:00:00Z/9.|P528|363|P972|Q53629101
QX679|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3634068786419/8.55482365686395|P571|+1870-00-00T00:00:00Z/9.|P528|375|P972|Q53629101
QX680|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3377873231885/8.53620291093073|P571|+1904-00-00T00:00:00Z/9.|P528|118|P972|Q53629101
QX681|Lde|'Reservoir Leimbach'|P31|Q1630622|P31|Q53628618|P625|@47.3249289314103/8.50739723981562|P571|+1981-00-00T00:00:00Z/9.|P528|1056|P972|Q53629101
QX682|Lde|'Friedhof Sihlfeld A'|P31|Q1630622|P31|Q53628618|P625|@47.375567622701/8.51047527496329|P571|+1912-00-00T00:00:00Z/9.|P528|550|P972|Q53629101
QX683|Lde|'Friedhof Sihlfeld A'|P31|Q1630622|P31|Q53628618|P625|@47.3756987614804/8.5102804726582|P571|+1912-00-00T00:00:00Z/9.|P528|550|P972|Q53629101
QX684|Lde|'Bahnhof Wiedikon'|P31|Q1630622|P31|Q53628296|P625|@47.3713603227695/8.5232474761457|P571|+1927-00-00T00:00:00Z/9.|P528|188|P972|Q53629101
QX685|Lde||P31|Q1630622|P31|Q53628296|P625|@47.36372267734/8.56081002310169|P571|+1904-00-00T00:00:00Z/9.|P528|321|P972|Q53629101
QX686|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3520004286386/8.56613675959906|P571|+1877-00-00T00:00:00Z/9.|P528|384|P972|Q53629101
QX687|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3633225895801/8.54978426959473|P571|+1942-00-00T00:00:00Z/9.|P528|410|P972|Q53629101
QX688|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3627878600379/8.55115786716139|P571|+1870-00-00T00:00:00Z/9.|P528|370|P972|Q53629101
QX689|Lde|'Schulhaus Mühlebachstrasse'|P31|Q1630622|P31|Q53628618|P625|@47.3624228529539/8.55394716133236|P571|+1952-00-00T00:00:00Z/9.|P528|617|P972|Q53629101
QX690|Lde||P31|Q1630622|P31|Q53628296|P625|@47.383489089372/8.53070418129944|P571|+1903-00-00T00:00:00Z/9.|P528|245|P972|Q53629101
QX691|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3853400675767/8.54253425203397|P571|+1903-00-00T00:00:00Z/9.|P528|266|P972|Q53629101
QX692|Lde|'Wohnsiedlung BG Limmattal'|P31|Q1630622|P31|Q53629707|P625|@47.3886676440562/8.46908714032301|P571|+nan-00-00T00:00:00Z/9.|P528|797|P972|Q53629101
QX693|Lde|'Försterbrunnen'|P31|Q1630622|P31|Q53628761|P625|@47.3742054912501/8.59118646565375|P571|+1951-00-00T00:00:00Z/9.|P528|707|P972|Q53629101
QX694|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4098312444916/8.54377035137896|P571|+2003-00-00T00:00:00Z/9.|P528|1228|P972|Q53629101
QX695|Lde|'Schiffbau-/Technoparkstrasse'|P31|Q1630622|P31|Q53628296|P625|@47.3894578746463/8.516492009616151|P571|+2003-00-00T00:00:00Z/9.|P528|1229|P972|Q53629101
QX696|Lde|'Universitätsstrasse vor 111'|P31|Q1630622|P31|Q53628296|P625|@47.3847266701788/8.54799251724768|P571|+2003-00-00T00:00:00Z/9.|P528|1225|P972|Q53629101
QX697|Lde|'Kindergarten'|P31|Q1630622|P31|Q53628618|P625|@47.4229612463104/8.50840640233451|P571|+nan-00-00T00:00:00Z/9.|P528|650|P972|Q53629101
QX698|Lde|'Heiligfeld, beim Spielplatz'|P31|Q1630622|P31|Q53628296|P625|@47.3797848334613/8.50513943798073|P571|+1955-00-00T00:00:00Z/9.|P528|1235|P972|Q53629101
QX699|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3597631407497/8.55289914668559|P571|+1977-00-00T00:00:00Z/9.|P528|6008|P972|Q53629101
QX700|Lde|'Schulhaus Altweg'|P31|Q1630622|P31|Q53628618|P625|@47.3723480854353/8.49249503021377|P571|+2003-00-00T00:00:00Z/9.|P528|1226|P972|Q53629101
QX701|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3691571238783/8.51972773943676|P571|+1764-00-00T00:00:00Z/9.|P528|168|P972|Q53629101
QX702|Lde|'Tramendstation Stettbach'|P31|Q1630622|P31|Q53628296|P625|@47.3970591255378/8.59590142937753|P571|+1986-00-00T00:00:00Z/9.|P528|1111|P972|Q53629101
QX703|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3758914480543/8.535668164819601|P571|+1984-00-00T00:00:00Z/9.|P528|6050|P972|Q53629101
QX704|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3805920889757/8.52540934559473|P571|+2004-00-00T00:00:00Z/9.|P528|6083|P972|Q53629101
QX705|Lde|'Endstation Seebach'|P31|Q1630622|P31|Q53628296|P625|@47.4218703391523/8.54983077926087|P571|+1941-00-00T00:00:00Z/9.|P528|487|P972|Q53629101
QX706|Lde|'Eingang Freibad Letzigraben'|P31|Q1630622|P31|Q53628296|P625|@47.3800024241268/8.50132969102719|P571|+nan-00-00T00:00:00Z/9.|P528|1233|P972|Q53629101
QX707|Lde|'FIFA Sonnenberg'|P31|Q1630622|P31|Q53629707|P625|@47.3670955592031/8.56791719223943|P571|+1999-00-00T00:00:00Z/9.|P528|342|P972|Q53629101
QX708|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3883752518269/8.52068547800132|P571|+2004-00-00T00:00:00Z/9.|P528|1240|P972|Q53629101
QX709|Lde|'Überdeckung Entlisberg'|P31|Q1630622|P31|Q53628296|P625|@47.3339272541246/8.52431264677637|P571|+2005-00-00T00:00:00Z/9.|P528|1243|P972|Q53629101
QX710|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3774117252852/8.48351428218957|P571|+1981-00-00T00:00:00Z/9.|P528|6040|P972|Q53629101
QX711|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3248050480965/8.51167999657755|P571|+1982-00-00T00:00:00Z/9.|P528|6044|P972|Q53629101
QX712|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3866215330903/8.47856293488698|P571|+1982-00-00T00:00:00Z/9.|P528|6045|P972|Q53629101
QX713|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3829635843856/8.50035774147538|P571|+1990-00-00T00:00:00Z/9.|P528|6070|P972|Q53629101
QX714|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3660217179132/8.55677740047136|P571|+1992-00-00T00:00:00Z/9.|P528|6072|P972|Q53629101
QX715|Lde||P31|Q1630622|P31|Q53628522|P625|@47.413102301858/8.54642504098591|P571|+1995-00-00T00:00:00Z/9.|P528|6075|P972|Q53629101
QX716|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3968106223788/8.48409245895768|P571|+1977-00-00T00:00:00Z/9.|P528|6005|P972|Q53629101
QX717|Lde|'bei Schulhaus'|P31|Q1630622|P31|Q53628522|P625|@47.3846413609536/8.48666331684971|P571|+1977-00-00T00:00:00Z/9.|P528|6009|P972|Q53629101
QX718|Lde|'bei Schulhaus'|P31|Q1630622|P31|Q53628522|P625|@47.3415115975333/8.53440887016202|P571|+1977-00-00T00:00:00Z/9.|P528|6011|P972|Q53629101
QX719|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3771625936086/8.51656485514179|P571|+1976-00-00T00:00:00Z/9.|P528|6001|P972|Q53629101
QX720|Lde||P31|Q1630622|P31|Q53628522|P625|@47.368886223575/8.54924671659758|P571|+1976-00-00T00:00:00Z/9.|P528|6002|P972|Q53629101
QX721|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3910703210208/8.46974477658832|P571|+1976-00-00T00:00:00Z/9.|P528|6003|P972|Q53629101
QX722|Lde|'bei Schulhaus'|P31|Q1630622|P31|Q53628522|P625|@47.3338993994843/8.51535278038216|P571|+1977-00-00T00:00:00Z/9.|P528|6010|P972|Q53629101
QX723|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3977986426793/8.49484923059828|P571|+1977-00-00T00:00:00Z/9.|P528|6012|P972|Q53629101
QX724|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3776899223193/8.55582125093922|P571|+1978-00-00T00:00:00Z/9.|P528|6015|P972|Q53629101
QX725|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3872530577203/8.52571586329421|P571|+1978-00-00T00:00:00Z/9.|P528|6016|P972|Q53629101
QX726|Lde|'bei Universitätsspital'|P31|Q1630622|P31|Q53628522|P625|@47.3755176087884/8.54942930822465|P571|+1978-00-00T00:00:00Z/9.|P528|6017|P972|Q53629101
QX727|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3865770873248/8.54749274088022|P571|+1979-00-00T00:00:00Z/9.|P528|6022|P972|Q53629101
QX728|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3740734522132/8.50307397926121|P571|+1979-00-00T00:00:00Z/9.|P528|6026|P972|Q53629101
QX729|Lde|'Migros Herdern'|P31|Q1630622|P31|Q53628522|P625|@47.3901984870707/8.51083278833907|P571|+1980-00-00T00:00:00Z/9.|P528|6027|P972|Q53629101
QX730|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3603431645725/8.5963001898012|P571|+1980-00-00T00:00:00Z/9.|P528|6029|P972|Q53629101
QX731|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3841686367175/8.53137735149186|P571|+1980-00-00T00:00:00Z/9.|P528|6033|P972|Q53629101
QX732|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3821273320411/8.5153950950098|P571|+1980-00-00T00:00:00Z/9.|P528|6034|P972|Q53629101
QX733|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3592791252526/8.51666863487788|P571|+1980-00-00T00:00:00Z/9.|P528|6035|P972|Q53629101
QX734|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3546224746179/8.51100724558983|P571|+1981-00-00T00:00:00Z/9.|P528|6036|P972|Q53629101
QX735|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3737626277398/8.53044899864898|P571|+1981-00-00T00:00:00Z/9.|P528|6037|P972|Q53629101
QX736|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3365568408298/8.5333694497197|P571|+1981-00-00T00:00:00Z/9.|P528|6039|P972|Q53629101
QX737|Lde||P31|Q1630622|P31|Q53628522|P625|@47.397057447377/8.52291753815224|P571|+1983-00-00T00:00:00Z/9.|P528|6047|P972|Q53629101
QX738|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3516704137434/8.52657779807896|P571|+1985-00-00T00:00:00Z/9.|P528|6052|P972|Q53629101
QX739|Lde|'UNI Irchel'|P31|Q1630622|P31|Q53628522|P625|@47.3994900424137/8.55037729952736|P571|+1985-00-00T00:00:00Z/9.|P528|6056|P972|Q53629101
QX740|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3725461630093/8.54727624055255|P571|+1985-00-00T00:00:00Z/9.|P528|6057|P972|Q53629101
QX741|Lde||P31|Q1630622|P31|Q53628522|P625|@47.4139313337094/8.52731267818396|P571|+1985-00-00T00:00:00Z/9.|P528|6058|P972|Q53629101
QX742|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3594517806449/8.56986668535428|P571|+1988-00-00T00:00:00Z/9.|P528|6066|P972|Q53629101
QX743|Lde||P31|Q1630622|P31|Q53628522|P625|@47.39206633644/8.48307383393297|P571|+1988-00-00T00:00:00Z/9.|P528|6068|P972|Q53629101
QX744|Lde||P31|Q1630622|P31|Q53628522|P625|@47.404976264489/8.54275930166542|P571|+1992-00-00T00:00:00Z/9.|P528|6071|P972|Q53629101
QX745|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4082748797838/8.55879633807909|P571|+1996-00-00T00:00:00Z/9.|P528|1186|P972|Q53629101
QX746|Lde|'beim Leuchturm Escherhöhe'|P31|Q1630622|P31|Q53628296|P625|@47.38634180023/8.5681417604841|P571|+1970-00-00T00:00:00Z/9.|P528|511|P972|Q53629101
QX747|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3352630953576/8.52492395133654|P571|+1932-00-00T00:00:00Z/9.|P528|141|P972|Q53629101
QX748|Lde|'Kirche St. Martin'|P31|Q1630622|P31|Q53629707|P625|@47.3782845240651/8.56475684399285|P571|+2003-00-00T00:00:00Z/9.|P528|1231|P972|Q53629101
QX749|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3609810255783/8.5718325721147|P571|+1936-00-00T00:00:00Z/9.|P528|354|P972|Q53629101
QX750|Lde|'Anlage Bullingerhof'|P31|Q1630622|P31|Q53628618|P625|@47.3795347261914/8.5136959186157|P571|+1984-00-00T00:00:00Z/9.|P528|1096|P972|Q53629101
QX751|Lde|'Katzensee'|P31|Q1630622|P31|Q53628618|P625|@47.4290244696018/8.49107216032507|P571|+1947-00-00T00:00:00Z/9.|P528|665|P972|Q53629101
QX752|Lde||P31|Q1630622|P31|Q53628618|P625|@47.4308197102637/8.49342859413198|P571|+nan-00-00T00:00:00Z/9.|P528|945|P972|Q53629101
QX753|Lde|'Schindlerpark'|P31|Q1630622|P31|Q53628618|P625|@47.386513121481/8.536775327804|P571|+nan-00-00T00:00:00Z/9.|P528|1121|P972|Q53629101
QX754|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3691864214857/8.53930205896877|P571|+1793-00-00T00:00:00Z/9.|P528|17|P972|Q53629101
QX755|Lde||P31|Q1630622|P31|Q53628761|P625|@47.3619082477346/8.49320106736615|P571|+2005-00-00T00:00:00Z/9.|P528|1246|P972|Q53629101
QX756|Lde|'Kiosk'|P31|Q1630622|P31|Q53628296|P625|@47.3701298620172/8.51018327050956|P571|+1952-00-00T00:00:00Z/9.|P528|210|P972|Q53629101
QX757|Lde|'vor Reservoir Giblen'|P31|Q1630622|P31|Q53628522|P625|@47.4096186404315/8.4876833450971|P571|+1996-00-00T00:00:00Z/9.|P528|6076|P972|Q53629101
QX758|Lde|'Tierspital'|P31|Q1630622|P31|Q53629707|P625|@47.4004096840309/8.55179092925054|P571|+nan-00-00T00:00:00Z/9.|P528|929|P972|Q53629101
QX759|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3913320118511/8.48841118555156|P571|+1982-00-00T00:00:00Z/9.|P528|6041|P972|Q53629101
QX760|Lde|'Halle'|P31|Q1630622|P31|Q53629707|P625|@47.3778987161257/8.53947062834285|P571|+nan-00-00T00:00:00Z/9.|P528|1008|P972|Q53629101
QX761|Lde|'Filteranlage Lengg'|P31|Q1630622|P31|Q53628618|P625|@47.3494597530303/8.57310939500365|P571|+1960-00-00T00:00:00Z/9.|P528|622|P972|Q53629101
QX762|Lde|'Schulhaus Fluntern'|P31|Q1630622|P31|Q53628618|P625|@47.3760175127943/8.55875662182092|P571|+nan-00-00T00:00:00Z/9.|P528|601|P972|Q53629101
QX763|Lde|'Schulhaus Luchswiesen'|P31|Q1630622|P31|Q53628618|P625|@47.4041873604648/8.58287166179698|P571|+1957-00-00T00:00:00Z/9.|P528|676|P972|Q53629101
QX764|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3694217233513/8.55918547755862|P571|+1907-00-00T00:00:00Z/9.|P528|331|P972|Q53629101
QX765|Lde|'Schulhaus Luchswiesen'|P31|Q1630622|P31|Q53628618|P625|@47.4042329457994/8.58343592373827|P571|+1957-00-00T00:00:00Z/9.|P528|676|P972|Q53629101
QX766|Lde||P31|Q1630622|P31|Q53629707|P625|@47.4089248920813/8.55224560296336|P571|+1986-00-00T00:00:00Z/9.|P528|1124|P972|Q53629101
QX767|Lde|'Witikon'|P31|Q1630622|P31|Q53628296|P625|@47.3567119720193/8.60246423764541|P571|+1932-00-00T00:00:00Z/9.|P528|345|P972|Q53629101
QX768|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3686018152375/8.525204453213|P571|+1931-00-00T00:00:00Z/9.|P528|199|P972|Q53629101
QX769|Lde||P31|Q1630622|P31|Q53629707|P625|@47.355729406675/8.50865700642765|P571|+1954-00-00T00:00:00Z/9.|P528|767|P972|Q53629101
QX770|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3793286010295/8.5636343829051|P571|+nan-00-00T00:00:00Z/9.|P528|1000|P972|Q53629101
QX771|Lde|'Altersheim'|P31|Q1630622|P31|Q53629707|P625|@47.3738247402848/8.48693568866515|P571|+1977-00-00T00:00:00Z/9.|P528|1009|P972|Q53629101
QX772|Lde|'Städtische Ueberbauung'|P31|Q1630622|P31|Q53628618|P625|@47.36971734305/8.49713587269339|P571|+1977-00-00T00:00:00Z/9.|P528|1010|P972|Q53629101
QX773|Lde|'Überbauung Hardau'|P31|Q1630622|P31|Q53628618|P625|@47.3803491184568/8.50985501495827|P571|+1977-00-00T00:00:00Z/9.|P528|1011|P972|Q53629101
QX774|Lde|'Überbauung Bodmergut'|P31|Q1630622|P31|Q53628618|P625|@47.3592949230647/8.55449388539601|P571|+1977-00-00T00:00:00Z/9.|P528|1012|P972|Q53629101
QX775|Lde|'Altersheim Mittelleimbach'|P31|Q1630622|P31|Q53628618|P625|@47.3259267986479/8.514976754626261|P571|+1977-00-00T00:00:00Z/9.|P528|1016|P972|Q53629101
QX776|Lde|'Schulhaus Grünau'|P31|Q1630622|P31|Q53628618|P625|@47.3966262399058/8.48879621696544|P571|+nan-00-00T00:00:00Z/9.|P528|1017|P972|Q53629101
QX777|Lde|'Schulhaus Neubühl'|P31|Q1630622|P31|Q53628618|P625|@47.332737453229/8.53274243934563|P571|+nan-00-00T00:00:00Z/9.|P528|1020|P972|Q53629101
QX778|Lde|'bei Station Uetliberg'|P31|Q1630622|P31|Q53629707|P625|@47.3521621597871/8.48775299902744|P571|+nan-00-00T00:00:00Z/9.|P528|1021|P972|Q53629101
QX779|Lde|'Klinik Burghölzli'|P31|Q1630622|P31|Q53629707|P625|@47.3538583715984/8.56872567584297|P571|+nan-00-00T00:00:00Z/9.|P528|1022|P972|Q53629101
QX780|Lde|'bei Alterssiedlung Grünau'|P31|Q1630622|P31|Q53628618|P625|@47.3955650065395/8.49029309892|P571|+1979-00-00T00:00:00Z/9.|P528|1025|P972|Q53629101
QX781|Lde|'Freizeitanlage Bodmergut'|P31|Q1630622|P31|Q53628618|P625|@47.3588838928783/8.55372225797113|P571|+1978-00-00T00:00:00Z/9.|P528|1028|P972|Q53629101
QX782|Lde|'Kantonale Gehörlosen-Schule'|P31|Q1630622|P31|Q53629707|P625|@47.3404554740834/8.52443079980653|P571|+nan-00-00T00:00:00Z/9.|P528|1029|P972|Q53629101
QX783|Lde||P31|Q1630622|P31|Q53629707|P625|@47.4189080979936/8.5102014023995|P571|+1979-00-00T00:00:00Z/9.|P528|1031|P972|Q53629101
QX784|Lde|'Primarschulhaus Isengrind'|P31|Q1630622|P31|Q53628618|P625|@47.4233172475811/8.51405644048|P571|+1979-00-00T00:00:00Z/9.|P528|1032|P972|Q53629101
QX785|Lde|'bei Schulschwimmanlage Buhn'|P31|Q1630622|P31|Q53628618|P625|@47.4207237205572/8.5448535007681|P571|+1979-00-00T00:00:00Z/9.|P528|1034|P972|Q53629101
QX786|Lde|'Seewasserwerk Moos'|P31|Q1630622|P31|Q53628618|P625|@47.3330091199103/8.53123814916454|P571|+1979-00-00T00:00:00Z/9.|P528|1035|P972|Q53629101
QX787|Lde|'bei Kirche'|P31|Q1630622|P31|Q53629707|P625|@47.3327093377352/8.51616096305421|P571|+1979-00-00T00:00:00Z/9.|P528|1036|P972|Q53629101
QX788|Lde|'Altersheim'|P31|Q1630622|P31|Q53628618|P625|@47.3648100661881/8.56429053823305|P571|+1979-00-00T00:00:00Z/9.|P528|1037|P972|Q53629101
QX789|Lde|'Altersheim'|P31|Q1630622|P31|Q53628618|P625|@47.3644085252017/8.5647983962182|P571|+1979-00-00T00:00:00Z/9.|P528|1037|P972|Q53629101
QX790|Lde|'Altersheim'|P31|Q1630622|P31|Q53628618|P625|@47.3644739186984/8.56534359983434|P571|+1979-00-00T00:00:00Z/9.|P528|1037|P972|Q53629101
QX791|Lde|'Altersheim'|P31|Q1630622|P31|Q53628618|P625|@47.3649062670502/8.56487762397384|P571|+1979-00-00T00:00:00Z/9.|P528|1038|P972|Q53629101
QX792|Lde|'Schulhaus Buchlern'|P31|Q1630622|P31|Q53628618|P625|@47.3839814770068/8.47843810102943|P571|+1979-00-00T00:00:00Z/9.|P528|1040|P972|Q53629101
QX793|Lde|'Schulhaus Buchlern'|P31|Q1630622|P31|Q53628618|P625|@47.3840226569631/8.47928922707938|P571|+1979-00-00T00:00:00Z/9.|P528|1039|P972|Q53629101
QX794|Lde||P31|Q1630622|P31|Q53629707|P625|@47.4124609149038/8.52936841231356|P571|+1981-00-00T00:00:00Z/9.|P528|1043|P972|Q53629101
QX795|Lde||P31|Q1630622|P31|Q53630002|P625|@47.4025025359821/8.56725686300801|P571|+nan-00-00T00:00:00Z/9.|P528|1044|P972|Q53629101
QX796|Lde|'bei Pumpwerk Fischerweg'|P31|Q1630622|P31|Q53628618|P625|@47.3983708482131/8.48812271478744|P571|+1981-00-00T00:00:00Z/9.|P528|1047|P972|Q53629101
QX797|Lde|'oberhalb Anreicherungsbecken 2'|P31|Q1630622|P31|Q53628618|P625|@47.3942266267416/8.50088219196392|P571|+1981-00-00T00:00:00Z/9.|P528|1051|P972|Q53629101
QX798|Lde|'Ueberbauung Heuried'|P31|Q1630622|P31|Q53630002|P625|@47.3690959220469/8.51006759320992|P571|+1981-00-00T00:00:00Z/9.|P528|1052|P972|Q53629101
QX799|Lde||P31|Q1630622|P31|Q53630002|P625|@47.3641738848298/8.51949608329681|P571|+1981-00-00T00:00:00Z/9.|P528|1053|P972|Q53629101
QX800|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3723919959934/8.52791364490549|P571|+1981-00-00T00:00:00Z/9.|P528|1055|P972|Q53629101
QX801|Lde||P31|Q1630622|P31|Q53630002|P625|@47.3394157897231/8.52159831789984|P571|+nan-00-00T00:00:00Z/9.|P528|1058|P972|Q53629101
QX802|Lde||P31|Q1630622|P31|Q53629707|P625|@47.4120329147903/8.48049634618575|P571|+1981-00-00T00:00:00Z/9.|P528|1062|P972|Q53629101
QX803|Lde|'Eingang Universität Zürich'|P31|Q1630622|P31|Q53629707|P625|@47.3747313242316/8.54808902076944|P571|+nan-00-00T00:00:00Z/9.|P528|1071|P972|Q53629101
QX804|Lde|'Haus Publicitas'|P31|Q1630622|P31|Q53629707|P625|@47.3773080851691/8.54344031824718|P571|+1983-00-00T00:00:00Z/9.|P528|1074|P972|Q53629101
QX805|Lde|'Gemeinschaftszentrum Pro Juventute'|P31|Q1630622|P31|Q53628618|P625|@47.4250713504237/8.51020776545016|P571|+1983-00-00T00:00:00Z/9.|P528|1085|P972|Q53629101
QX806|Lde|'Stadelhofer-Passage'|P31|Q1630622|P31|Q53628296|P625|@47.3672498921759/8.54741753787228|P571|+1983-00-00T00:00:00Z/9.|P528|1086|P972|Q53629101
QX807|Lde||P31|Q1630622|P31|Q53628618|P625|@47.4016361357604/8.50689762820628|P571|+1983-00-00T00:00:00Z/9.|P528|1095|P972|Q53629101
QX808|Lde|'Universität Strickhof'|P31|Q1630622|P31|Q53629707|P625|@47.3973828733687/8.54828810465245|P571|+1984-00-00T00:00:00Z/9.|P528|1098|P972|Q53629101
QX809|Lde|'Krankenheim Witikon'|P31|Q1630622|P31|Q53628618|P625|@47.3549283562122/8.60247332972365|P571|+1984-00-00T00:00:00Z/9.|P528|1099|P972|Q53629101
